PIN:MEMLATENCIES 1.0. 0x0
#
# DCACHE stats
#
# L1 Data Cache:
# Load-Hits:             87566202   87.54%
# Load-Misses:           12467899   12.46%
# Load-Accesses:        100034101  100.00%
# 
# Store-Hits:               29134   90.20%
# Store-Misses:              3166    9.80%
# Store-Accesses:           32300  100.00%
# 
# Total-Hits:            87595336   87.54%
# Total-Misses:          12471065   12.46%
# Total-Accesses:       100066401  100.00%

#
# LOAD stats
#
NumItems 3305
DATA:START
#  counters
# iaddr          : dcache:miss        dcache:hit
0x00007f02aafd1e8a:            1            3
0x00007f02aafd1ea7:            0            0
0x00007f02aafd1eb0:            0            0
0x00007f02aafd1eca:            0            1
0x00007f02aafd1f02:            0            0
0x00007f02aafd1f0a:            0            0
0x00007f02aafd1f17:            0            0
0x00007f02aafd1f3a:            1            3
0x00007f02aafd1f57:            0            0
0x00007f02aafd1f60:            0            0
0x00007f02aafd1f7a:            0            1
0x00007f02aafe1d53:            1            0
0x00007f02ab01ae40:            0            0
0x00007f02ab01ae41:            0            0
0x00007f02ab01ae4e:            0            1
0x00007f02ab01ae5e:            0            0
0x00007f02ab01ae6a:            1            0
0x00007f02ab01ae75:            0            0
0x00007f02ab01ae78:            0            1
0x00007f02ab01ae7f:            0            1
0x00007f02ab01ae82:            0            0
0x00007f02ab01ae89:            0            1
0x00007f02ab01ae8a:            0            1
0x00007f02ab01ae8b:            0            1
0x00007f02ab057460:            1            3
0x00007f02ab05746a:            1            3
0x00007f02ab05748d:            0            0
0x00007f02ab057496:            0            0
0x00007f02ab05749f:            0            0
0x00007f02ab0574a8:            0            0
0x00007f02ab0574ad:            0            0
0x00007f02ab0574b2:            0            0
0x00007f02ab0574c0:            0            0
0x00007f02ab0574c7:            0            4
0x00007f02ab0574cd:            0            4
0x00007f02ab0574dc:            2            2
0x00007f02ab0574df:            2            2
0x00007f02ab0574e7:            0            4
0x00007f02be4fea80:            0           25
0x00007f02be4fea90:            7           17
0x00007f02be4feab0:            0            9
0x00007f02be4fead0:            3            0
0x00007f02be4feeca:            0            1
0x00007f02be4feed2:            0            0
0x00007f02be4feed3:            0            1
0x00007f02be4feeda:            0            0
0x00007f02be4feef4:            0            0
0x00007f02be4feef9:            1            0
0x00007f02be4fef05:            0            0
0x00007f02be4fef10:            0            0
0x00007f02be4fef18:            0            0
0x00007f02be4fef37:            0            0
0x00007f02be4fef3c:            0            1
0x00007f02be4fef4a:            4            0
0x00007f02be4fef5d:            0            0
0x00007f02be4fef62:            0            4
0x00007f02be4fef8a:            0            0
0x00007f02be4fef8f:            0            0
0x00007f02be4fef94:            0            0
0x00007f02be4fefaf:            0            0
0x00007f02be4fefc0:            0            1
0x00007f02be4fefc9:            0            0
0x00007f02be4fefd0:            0            0
0x00007f02be4fefd8:            0            0
0x00007f02be4feff7:            0            0
0x00007f02be4ff008:            0            0
0x00007f02be4ff012:            0            1
0x00007f02be4ff013:            0            1
0x00007f02be4ff014:            0            0
0x00007f02be4ff019:            1            0
0x00007f02be4ff02e:            0            0
0x00007f02be4ff037:            0            0
0x00007f02be4ff072:            1            0
0x00007f02be4ff075:            0            0
0x00007f02be4ff07a:            0            1
0x00007f02be4ff083:            0            1
0x00007f02be4ff088:            0            0
0x00007f02be4ff091:            1            0
0x00007f02be4ff09a:            0            1
0x00007f02be4ff0b6:            0            1
0x00007f02be4ff0ba:            0            0
0x00007f02be4ff0c3:            0            0
0x00007f02be4ff0ca:            0            0
0x00007f02be4ff0d9:            0            1
0x00007f02be4ff0da:            0            1
0x00007f02be4ff2d3:            0            0
0x00007f02be4ff2db:            0            1
0x00007f02be4ff2e1:            1            0
0x00007f02be4ff2e8:            0            0
0x00007f02be4ff2f3:            0            1
0x00007f02be4ff305:            0            0
0x00007f02be4ff327:            0            3
0x00007f02be4ff330:            1            3
0x00007f02be4ff334:            0            4
0x00007f02be4ff340:            0            4
0x00007f02be4ff344:            0            4
0x00007f02be4ff8d0:            0            0
0x00007f02be4ff8d4:            0            1
0x00007f02be4ff8d7:            1            0
0x00007f02be4ff8e3:            0            0
0x00007f02be4ff8ec:            0            0
0x00007f02be4ff8f2:            0            1
0x00007f02be4ff8f3:            0            1
0x00007f02be4ff910:            0            0
0x00007f02be4ff91b:            0            0
0x00007f02be4ff91d:            0            0
0x00007f02be4ff91f:            0            0
0x00007f02be4ff924:            0            0
0x00007f02be4ff929:            0            0
0x00007f02be4ff931:            0            0
0x00007f02be4ff93f:            0            1
0x00007f02be4ff946:            0            0
0x00007f02be4ff954:            0            0
0x00007f02be4ff962:            0            0
0x00007f02be4ff968:            0            0
0x00007f02be4ff976:            0            0
0x00007f02be4ff984:            0            0
0x00007f02be4ff98b:            0            1
0x00007f02be4ff992:            0            0
0x00007f02be4ff9a5:            0            0
0x00007f02be4ff9b0:            0            0
0x00007f02be4ff9bb:            0            0
0x00007f02be4ff9c6:            0            0
0x00007f02be4ff9cd:            0            2
0x00007f02be4ff9d4:            0            0
0x00007f02be4ff9e5:            0            1
0x00007f02be4ffa00:            0           12
0x00007f02be4ffa27:            1            0
0x00007f02be4ffba7:            0            0
0x00007f02be4ffbb8:            0            0
0x00007f02be4ffdd0:            1            0
0x00007f02be4ffdde:            1            0
0x00007f02be4ffead:            0            1
0x00007f02be4ffebb:            0            1
0x00007f02be4ffec4:            0            0
0x00007f02be4ffedc:            0            0
0x00007f02be4ffee3:            0            0
0x00007f02be4ffee6:            0            0
0x00007f02be4ffeed:            0            0
0x00007f02be4ffef8:            0            0
0x00007f02be4fff05:            0            0
0x00007f02be4fff0c:            0            0
0x00007f02be500162:            0            0
0x00007f02be500173:            0            0
0x00007f02be50017a:            0            1
0x00007f02be500186:            0            0
0x00007f02be50018e:            0            1
0x00007f02be500195:            0            1
0x00007f02be500198:            0            0
0x00007f02be50019f:            0            0
0x00007f02be5001a4:            0            1
0x00007f02be5001b4:            0            1
0x00007f02be5001ba:            0            1
0x00007f02be5001c2:            0            0
0x00007f02be5001cd:            0            0
0x00007f02be5001d8:            0            0
0x00007f02be5001ff:            0            1
0x00007f02be500239:            5            4
0x00007f02be5002c7:            0            1
0x00007f02be5002ce:            0            1
0x00007f02be5002d5:            1            0
0x00007f02be5002e1:            0            0
0x00007f02be5002e4:            0            0
0x00007f02be5002f0:            0            0
0x00007f02be500300:            0            0
0x00007f02be50030b:            0            1
0x00007f02be500319:            0            1
0x00007f02be500325:            1            0
0x00007f02be50032c:            0            1
0x00007f02be500330:            0            1
0x00007f02be500337:            0            1
0x00007f02be50033b:            0            1
0x00007f02be50033e:            0            0
0x00007f02be500348:            0            0
0x00007f02be50034f:            0            1
0x00007f02be500358:            0            0
0x00007f02be500363:            0            1
0x00007f02be500368:            0            0
0x00007f02be50036f:            0            0
0x00007f02be500386:            0            0
0x00007f02be50038a:            1            0
0x00007f02be5003a0:            1            0
0x00007f02be5003ad:            1            0
0x00007f02be5003f9:            0            0
0x00007f02be500401:            6           17
0x00007f02be50042e:            0            0
0x00007f02be500436:            0            0
0x00007f02be50043e:            0            1
0x00007f02be500446:            0            0
0x00007f02be50044f:            0            0
0x00007f02be500453:            0            0
0x00007f02be5004b7:            0            1
0x00007f02be5004c3:            0            1
0x00007f02be5004ce:            0            1
0x00007f02be5004d5:            0            1
0x00007f02be5004dc:            0            1
0x00007f02be5004e7:            0            1
0x00007f02be5004f3:            0            0
0x00007f02be5004fa:            0            0
0x00007f02be500522:            0            1
0x00007f02be50052e:            0            0
0x00007f02be500535:            0            0
0x00007f02be500539:            0            0
0x00007f02be50055b:            0            1
0x00007f02be500565:            0            0
0x00007f02be500573:            0            0
0x00007f02be50057e:            0            0
0x00007f02be50058b:            0            1
0x00007f02be5005b0:            0            0
0x00007f02be5005c1:            0            1
0x00007f02be5005ca:            1            0
0x00007f02be5005d1:            0            1
0x00007f02be5005d8:            0            0
0x00007f02be5005e0:            0            0
0x00007f02be500613:            2            2
0x00007f02be50061a:            1            0
0x00007f02be500626:            0            0
0x00007f02be50062b:            0            1
0x00007f02be500636:            0            0
0x00007f02be500641:            0            0
0x00007f02be500649:            0            1
